Radius,Resolution,Distance 1,Distance 2,Highest Vote
,,,,
0.099,0.0005,0.014065749,,5
0.099,0.001,0.003839164,0.010966859,5
0.099,0.003,0.003259601,0.009912787,14
0.099,0.005,0.00559017,0.00929078,22
0.01,0.0005,0.008933966,,4
0.01,0.001,0.004526818,0.084799423,4
0.01,0.003,0.001671332,,3
0.01,0.005,0.006103902,,4
0.011,0.0005,0.000554307,,3
0.011,0.001,0.000430235,,3
0.011,0.003,0.00294683,,3
0.011,0.005,0.003759356,0.091106236,4
,,,,
0.099,0.0005,0.000974548,,3
0.099,0.001,0.00955329,,6
0.099,0.003,0.006041523,0.014408827,17
0.099,0.005,0.004123106,0.013977324,21
0.01,0.0005,0.000365464,,3
0.01,0.001,0.001484355,,3
0.01,0.003,0.002807715,0.097074141,4
0.01,0.005,0.0048559,0.093661292,4
0.011,0.0005,0.001592802,,3
0.011,0.001,0.000291019,,3
0.011,0.003,0.006396986,,4
0.011,0.005,0.001195672,0.085847575,4
,,,,
0.099,0.0005,0.006364031,,4
0.099,0.001,0.004376424,0.011037463,6
0.099,0.003,0.002828427,0.009889399,16
0.099,0.005,0.003952847,0.004590191,22
0.01,0.0005,0.001636471,,3
0.01,0.001,0.000673153,,3
0.01,0.003,0.00352107,,4
0.01,0.005,0.003264934,,4
0.011,0.0005,0.007144192,,4
0.011,0.001,0.000985728,0.081062618,3
0.011,0.003,0.003523229,0.08193104,4
0.011,0.005,0.002061311,,3
,,,,
0.099,0.0005,0.004143489,,4
0.099,0.001,0.002302286,,5
0.099,0.003,0.005200078,0.013416214,13
0.099,0.005,0.00559017,0.01074854,25
0.01,0.0005,0.000723173,,3
0.01,0.001,0.001083337,,3
0.01,0.003,0.006660693,,4
0.01,0.005,0.000876332,0.08990342,4
0.011,0.0005,0.00062216,,3
0.011,0.001,0.00027364,,3
0.011,0.003,0.007233873,,4
0.011,0.005,0.002690102,0.081377085,4
,,,,
0.099,0.0005,0.009969624,,4
0.099,0.001,0.009140911,,6
0.099,0.003,0.006403124,0.006242163,16
0.099,0.005,0.00942809,0.010285025,22
0.01,0.0005,0.000594464,,3
0.01,0.001,0.000887292,,3
0.01,0.003,0.001319585,,3
0.01,0.005,0.002176657,0.081391317,4
0.011,0.0005,0.000374822,,3
0.011,0.001,0.001157214,,3
0.011,0.003,0.002229659,,4
0.011,0.005,0.001502299,,4
,,,,
0.099,0.0005,0.004335244,,4
0.099,0.001,0.010426065,,6
0.099,0.003,0.001414214,0.006908371,18
0.099,0.005,0.005,0.004381036,24
0.01,0.0005,4.52026E-05,0.095539979,3
0.01,0.001,0.001414872,,3
0.01,0.003,0.00332256,,3
0.01,0.005,0.003021727,0.085687579,3
0.011,0.0005,0.00050979,,3
0.011,0.001,0.00199567,0.095336247,3
0.011,0.003,0.000676694,,4
0.011,0.005,0.004921613,,4
,,,,
0.099,0.0005,0.000536199,,3
0.099,0.001,0.001999225,,6
0.099,0.003,0.003405877,0.005620511,16
0.099,0.005,0.000833333,0.010324872,21
0.01,0.0005,0.010009834,,4
0.01,0.001,0.001331621,,3
0.01,0.003,0.001305685,0.086067856,3
0.01,0.005,0.0038583,0.090553851,4
0.011,0.0005,0.000510696,,3
0.011,0.001,0.000191723,,3
0.011,0.003,0.004784145,,3
0.011,0.005,0.006532849,0.085409637,4
,,,,
0.099,0.0005,0.005939799,,4
0.099,0.001,0.002246727,,6
0.099,0.003,0.004743416,0.010292299,14
0.099,0.005,0.001666667,0.006950422,22
0.01,0.0005,0.000809101,,3
0.01,0.001,0.000998569,,3
0.01,0.003,0.002439989,0.084061376,3
0.01,0.005,0.001671258,0.085844573,3
0.011,0.0005,0.000376684,,3
0.011,0.001,0.001547161,,3
0.011,0.003,0.000546225,,4
0.011,0.005,0.002916366,,3
,,,,
0.099,0.0005,0.00052133,,3
0.099,0.001,0.014835809,,6
0.099,0.003,0.007017834,0.01119955,15
0.099,0.005,0.003535534,0.004407895,24
0.01,0.0005,0.000321971,,3
0.01,0.001,0.005204632,,4
0.01,0.003,0.002387346,0.089280146,4
0.01,0.005,0.003391315,0.089501397,4
0.011,0.0005,0.000654348,,3
0.011,0.001,0.000970667,,3
0.011,0.003,0.002528536,,4
0.011,0.005,0.003957378,,4
,,,,
0.099,0.0005,0.000739181,,3
0.099,0.001,0.00868546,0.008169309,6
0.099,0.003,0.00212132,0.010879095,16
0.099,0.005,0.005153882,0.00489726,21
0.01,0.0005,0.001398705,,3
0.01,0.001,0.000314225,,3
0.01,0.003,0.004437463,0.086371292,4
0.01,0.005,0.002702128,,4
0.011,0.0005,0.000222398,,3
0.011,0.001,0.000978939,,3
0.011,0.003,0.001648458,,4
0.011,0.005,0.004493741,0.086842438,3
